comment,label
ma'am really 1st time i understood everything about the chapter u r really a perfect teacher and explained everything in only a hour really u r amazing,F
east or west learnohub is the best,I
,I
really i am understand this chapter by the channel.......love you mam for teaching us,F
useful,F
cbse batch attendance,I
thank you ma'am,F
kis kis ka kal exam h wo like kare,I
"ma'am, thank you so much for covering the topic in a very easy way but there is a small mistake at last in problem solving you used the word sirf physics padhane wale 12 teacher. that is incorrect it will be total 12 teachers who teach physics. 1:01:09",F
1 hour,I
26:36 real number is the super set of rational numbers and rational number is the subset of real numbers. hope got it,D
mam important questions video 1 to 5 chapters math,F
bgmi,I
2024-25 attendance here,I
2024-25 batch,I
kon kon dekh raha he,I
kal paper hai aur tum video ki bajaay comment padh rahe ho,I
chse ke liye bhi video nikaliye all chse students ko apa jesi teacher ki jarurat he,F
uarr great great great mam... .. apaka 1 short word bahat heee power full,F
i have my exams today,I
best teaching way i ever seen for mathss....,F
hii mam,I
kon2 july meh dekha,I
2025-2026 batch like,I
0:35,I
but we are from mp bord,F
38:15,I
thank you so much mam love you mam,F
watching this 1 hour before exams,I
mam good explane,F
"mam kya aap live online padhatu h ...class11, 12 ko",F
thank you mam,F
gonna come back one day when i forgot the lesson again .,I
didn't understand in school so searching in yt n found this. it's way more understandable than in school . thanks a lot,F
,I
"ma,am richard in english please maam",F
hi,I
thank u so much mam,F
anyone in 2024-25,I
10th grader who also want to learn this,F
,I
sets is become terrible in 2x,D
thnku mam,F
nice looking mem love you,I
kon kon july me start kr rha hai,I
she has more subscribers than krishna,I
july 10,I
bhishm kumar class 10th me 309 mark aaya hai madam,I
mam apne roster form ka c part nahi btaya please bta do,F
good teacher bruhs,F
biology next lesson please maam,F
tumhara class teacher ka lamborghini ka colour?,I
real life me kidhar use hoti hai??? prussian education system welcome to slavery,D
plz in english,F
2024/2026,I
exam ke din padne ka gammand hai,I
yes,I
yes,I
ppl have been started studying from 3months b4 le me who started on 29 june almost in july!,I
,I
wonderful explanation,F
hecooki,I
,I
"corona batch, abhi btech 2nd yr me dekh raha hu",I
osm experience form this channel ... thnku you mem we are from 2024-25 batch,F
thank you so much mem... i first time see your video...its all okay.... great,F
thank you mam,F
41:18,I
bhai kal exam hai aur kuch bi nahi atta,I
36:58 36:58,I
3:15,I
nice,F
mam number ki example bahat sara chahie samajh nehi aa rahi he,D
9:32 9:33,I
wow mam,F
thank you mam i understand full chapter but mam can you start with the excercise of this chapter,F
very nice,F
perfect one shot lecture !! crystal clear explanation,F
"maam, your videos are really helpful but can you pls upload video of angles and measurement",F
25:52 aapne bola kii b - a kaa ho jaega superset but agr schl me humse pucha kii b - a ka kya hoga ??aur humne bol dia kii super set hoga....toh teacher hamara answer shii bolegi...kyuki book me aisa super set vagera kuch hai nhi naa.....isliye...,D
miss ap pw me aa jaiye pls pw me best teacher hai hum alakh sir se bat karunga ok miss you are really best teacher miss aap galat mat samjhiye ga apki marji gues like or comment kr ke batwo ke hum galt hai yeh shai,D
maam i love you,F
bruh i am still in grade 6,I
proper subset?,D
please try to explain only in one language why two languages very bad moreover this is not the way of explaining a maths chapter improve yourself and come back again god bless,F
,I
very perfectly teached,F
mam u r cute in both teaching and look,I
hi akka,I
hindi me padhaye,F
wonderful explanation,F
mam please take more problems after explaining one point,F
love tou mam,F
from instagram,I
legends reading comments without listening,I
wonderful explanation,F
thank you very much ma'am for such wonderful videos for us students .i am very grateful maam,F
ma'am i will call you after some days,I
power set ka formula samaj nahi aaya,D
thank you so much .....mam,F
2024-2025 batch attendance here,F
thank you so much ma'am as your way to explain any topic is fantastic,F
thank you so much mam,F
"mam, do we have any deleted portions for 11th (2024-25 batch).if yes, what are they?",D
odisha ra kia acha,I
mam time 14 min you say they all are multiple of 3 ... if i say they are division of 3 was it right,D
dekh dekh dekh kaise comment dekh raha hai saale padh le dhyan se uper focus kar karu guddi lal,I
nice,I
the way you teach us it was really really amazing,F
mam you are amazing,F
any isc students,I
,I
like if you are a pcm student,I
my mathematics is weak but still i am choosed math because i gonna follow my dream and this journey will become exiting journey ever because of your teaching skill is so best and now i am ready to solve math questions with the help of your video thnx mam thnx,F
30:31so funny movement power set,I
mein sab subject aap hi padhta hu,I
mam jo aap padha ti ho wo sab ek bar me samajh a jata h jiski wajah se mujhe maths mein 50 mein se 50 number aye,F
mast sab dekho 1 bar mai samj aa jayega,I
mam at first i was understanding everything but at last i didn't understand anything you went too fast,F
tf does she think ? 42:52,I
easiest. thank you so much.,F
class10 here!!,I
mam notes kha se le skte h iss class ke,D
2024 and 2025 batch like karo,I
jst love your video ma'am,F
mmm i have need for notes of set,D
,I
notes mil jate to revise karna acha hota..mam do some help,D
thankyou ma'am very nice explaination and easy to comprehend!,F
2024 2025 batch present,I
is anyone from 9th like me ??,I
thank you so much,F
yes mam you are great,F
batch 2024-25,I
mama your teaching is soo amazing roshin mam is best teacher,F
yaar aeto,I
mam 2025 dropper wolo ke lie ek special video bana digiye n. jisme class 11th and 12th ka pura topic ho please mam,D
"thankyou mam,this help me alot!",F
closed enterval ke niche nhi samjhe,D
