comment,label
kiska kiska class10th me 400+ number aya hai,F
don't waste your time students work hard ...pado pado ..,F
,I
koye mari best friend bnie ghi ....mai mehnoor from kashmir,I
mam hume notes chahiye apke kaise milenge aap bahut acha padhati hai pls hume notes ki pdf mil jaye,F
kon kon 2025 2026 ke liye dekh raha hai,I
2024-2025,I
,I
hi,I
good morning,I
hiii,I
mam iska note chaiyai tha,F
who is here from pakistan?,I
magnet brain is super learning platform,I
"thank you mam , i m starting 11th class",F
hm,I
hum bhe hai bhai,I
mam are so cool and funny and also a good teacher,F
hi punnom,I
mam ap bahut ache sa anjali ho,F
mam please live kab chalaga,F
kon kon ye video 24 25 se dekh raha hai,I
khaliya,I
welcome to session 2024-2025 me dekh rahe hai,I
koun koun is video ko season 2024 to 2025 me dekh raha h vo like kare,I
mam notes send me,F
you've made bio easy to understand thnku mam,F
watch with 1.5x speed,F
this is sufficient without coaching,F
nyc video,F
future doctor attendance here,I
doubt,D
magnet brains please provide me a bagog magnet brains,F
i am neet aspirant of 2026,I
who is watch 2024 like me for neet,I
2024-25 batch attendance please,I
mam cg board ke pattern se padhaiye na,F
,I
mam maja aagaya padne me,F
carefull smjo,F
bio,I
the topic was not clear mam,F
ye kab ka channel hai,F
mam ya yad nahi karna,F
i come recently bro,I
happy birthday,I
iska mani lik ka samjaiya mam,D
who is here for 2024-25,I
mr aryan ji,I
hlo mam new season 2024 225,I
bilkul acha samjaya hai mam apna smjh agya chapter,F
mam aapke jesi aourat crime alert me aati hoti hai aur vo sabh ki pyaas bujhati hai,I
hi,I
yes,I
kon sa session ka h,D
maam app bhut acha paratta hooo maja ajata hai parta parta,F
thank you miss,F
it's 2024,I
iska notes kha milega please koi bta do bhai,F
me abhi class 10 finish kiya hu or 11 me hoga tu guys me science ko english me lo ya assamese me i am confused so guys please tell me what you thinking,D
who is here for session 2022-2023 or 2024-2025,I
mam aap hindi midum ko nahi padti ha kya,F
who watch this in 2024-25,I
attention batch 2024 25,I
thank you mam,F
please,I
agar koi janta hai toh plzz inform me,F
kon sa website,D
mam website kaha hai,F
"thank-you sooo much for it, i'm in 10th class west bengal board and i'm gonna start reading ncert to crack neet in future. thanks for these free videos.",F
mam no notes provided,F
"madam, sorry to say, but covid-19 is not a virus, it is disease caused by novel corona virus.",D
"hello ma'am, main 2025 me neet ka exam dena chahti hu. aur mein bsc honours kar chuki hu... kya fir bhi main apne interest ke sath neet ka exam de sakti hu??",D
kon kon ye video 2024-25 ke liye dekh rha h,I
like for 2024-2025,I
your teaching experience is so good,F
hii,I
who all are here for 2024-25 session ?...like,I
legends seeing in 2024,I
ky ye lectures neet ke liye sufficient h ?,D
session 2024-25,I
who is here for session 2023-24,I
is it helpful for isc exams?,D
ok mam,I
mam itna bada chapter,F
session 2024-25,I
mam raplicate means,D
who is here after board exams ?for session 2024-2025,I
thank you so much ma'am,F
class 10th just over and now 11th me machange,I
2024-2025 ka lecture kb aayega,F
mam your teaching is very well,F
hi kya aap hamari ek madad kare ge,D
hi kya aap hamari ek madad kare ge,D
hi kya aap hamari ek madad kare ge,D
hi kya aap hamari ek madad kare ge,D
hi kya aap hamari ek madad kare ge,D
hi,I
hi,I
hi,I
kon kon 2024 ma ya topic dkh rha haa,F
mam syllabus hindi mein ho sakta hai kya please mam,F
aare mam aapke channel me ek bhari problem hai aap video pe add dena band karo,F
mam mycorrhizae ka video writing clear ni hai,F
mark your attendance 2023-2024....,I
mam ap online calls kab leate hai,F
introduction part start 3:14,I
kaise karee,I
aapse,I
mujhe online class karna h,F
hii ma'am,I
reproduction to ha nh apna ma matlb apni life sahi nh ha,D
hello baccho,I
2023-2025 exam,I
hii miss science ncert english miss biology chemistry physics class,I
mem,I
hello mem,I
mam genetic diversity ka matlab kya hai,D
thank you mam,F
happy teacher day memyou are my best teacheri am always respect youyou are very heart touching memyou are always greathappy teacher day memi wish you are always happy,F
mam 11th ki live classes kab lagti hai physics chemistry or bio ki. ..... time ?,F
i am a student of msc even then i study with my mam,F
hello mam,I
man 11class ka live kab hota h,F
book you good ready mime,I
mene 10th me magnet brains se study krke 85% laya or ab 11ka preperation st kr liya hai thank que magnet brains,F
video starts at 3.19 .. so don't waste urrr time.. you must start from 3.19..,F
while pcmb student preparing both for neet and jee,F
this channel are best for neet aspirants,F
mam neet ki taiyari me ye padhana hai na please reply,F
mam live class kb chalti hai biology ki,F
could u teach us physics from the beginning. jab main school main thi tab teacher padati nahi thi isley aaj struggle kar rahi hu,F
thanks man,F
kitne bje se live classes start hots h,F
life me jo gum h,I
i am in 6th standard but i view magnet brains because their teaching methods are awesome,F
24:05,I
what a surprise,I
slow se bolo naa,F
mam mic bhi thora thora disturb hogaya aram se bolo,F
thank you mam,F
thanks mam,F
mam aap kuch kuch new word bolte hai jo ki hme nahi pta hota haikya hum is playlist se apna 11 complete +neet ki tyari kar sakte haikya aap fir se new video bna salte hai,F
nice,I
body interactions show,I
hindi medium wale he ham kya ye video dekh sakte hai kya,F
neet 2024 ki tyari kar sakte he kya mam,F
hi ma'am,I
2023-2024,I
how can i get notes please reply mam,F
"mam,in my biology book ,the first chapter is cell biology and in this there is alot of ribosomes , mitochondria etc.",D
kon kon neet ke liy ye video dekh rha hai,F
hello man,I
ma'am apki energy jor dar hai apka vidio dekhkar mai bohot motive aur bohot achha memorize hua thnxx ma'am a lot,F
attendance here,I
mam mu doctor habaku chauchi kn pari baku haba,I
mam app live class kaba haba,F
hlo ma'am i am new,I
thnku mam you are queen of biology,F
2023 me kon dekh rha hailike kro,I
thnku mam,F
attendance for 2023-2024,I
who are here for batch 2023-24?,F
thanku mam queen of biology,F
is this enough to crackneet,D
2023/2024,I
mam you see a lot.....,F
hum bhi hai,I
3:20 vedio starts at,I
thnku mam,F
thanks mam,F
iam class 10,F
thnku mam,F
