comment,label
,I
math gajab padhati hai ham pura padhe hamko bihar board me 95 aaya math thanku shivani mam,F
kon kon 2024 25 ka hai,I
mam math ki live class ka time kya ha,D
"respected madam,please make math tutorial for maharashtra board.",F
thanks,F
mam l am chse student.,I
we study all these chapters in class 11 in pakistan,I
where do i get english medium tutorial,D
koi muche please btao ki 2023 vali class lgau ya 24 vali kya dono same h ya syllabus alag h,D
kon kon aaj jekh raha he,I
mam pdf milega,D
2024 25 wale attendance lagado.,I
mam ap thumbnail sa jada sundar ho,I
jis jis ko math accha lagta hai to like please,I
yes man heard work start,I
exam date 2 feb 2024maths starting at 22 jan 2024lecture starting at 10:48,I
2024. -25 ka syllabus kab,D
can someone suggest me best platform for class 12th physics where i can get all chapters' lectures in one playlist,D
mam can you teach ug syllabus?,D
exam ke 1 month phle padhna start kiya hai,I
"today, i am starting study of mathmatics class 12thchepter ""1"". :- relationship and functions",I
mam class 12th ka 2023 2024 ka chapters ka overview da dijiye na plz..,D
mam mera 11th waste ho gaya 12 samaj me aayega ?,D
good liking from pakistan,F
sagotam ji,I
ma'am hindi mein,F
best work,F
mam can i star from today 20 august 2023 . and can i score 80 % ?,D
thank you mam,F
mam app bhaut accha padhati ho,F
mam class ki tyming kya hai i am a new student of your channel,D
mam i know this is the best educational channel please tell me i am 2022-23 batch student and i got compartment in maths so this is for 2022_23 batch or not?,D
nice teaching madamji,F
very nice video,F
"hello magnet brains team,i want a english speaking course and improve my vocabulary,kindly help me out.thanks",I
can i start from today 18.05.2023,D
and 2023 to 2024 section where is video,D
mem hindi medium me,F
"hello to the magnet brainsi studied class 10 maths from this platform because i was not able to understand in class ,i feeled this subject boring but slowly it became my favourite subjct and i chose non med in class 11 and i cracked jee advance and i came to iit delhi , and now i am a software engineer",I
mam can state syllables students can also follow it,F
mam bcom kaise padhe you tube pr kiske channel pr padhe,D
yes mam hm tiyar hai,I
sunil saini,I
thanks you so much madam!!,F
thanku ma'am,F
yes mammm,I
thanks mam,F
thank you so much ma'am,F
lucky. prajapati,I
thank you mam,F
"mam 11 ka syllabus bhi complete karwa dijiye. please,it's a humble request",F
mam aap live aa,F
maam iska notes kab milega,D
,I
thank you mem,F
thankuu mam,F
mam cuet ka pura syllabus krva dena,F
thanku you ma'am,F
thank you so much mam,F
yes mam bikul starting se ekdum aaram aaram se padehenge.mam bas aap koi sa bhi topic udana matand one more thing...............mam aap syllabus kab tak complete karwa doge please .....................................................................,D
mam i dobut pls slove me dobut,D
"mam,please make the playlist of it.",F
i start from today,I
mam app ki teaching ke jaisa aap v bahatt beautiful ho,I
we need saloni mam please tell me where,D
2024-2025 batch,I
best maths class for 12th on all over youtube i have seen .. thanks to magnet brains,F
1:35:28,I
very nice video mem,F
i started my mathematics today,I
didi apki online classes bhi hoti hn kya,D
mem 2024-25 batch provide....,F
mam 2025 board ke liye bhi ye lacture attend kr sakte hai na,D
,I
mam behave like dora the explora,I
my first time feeling maths is very easy subjectthanku so much mam,F
thank you mam,F
batch 2025-26,I
2024-2025,I
hindi kaha hai,D
2024 - 2025 batch,I
2024-2025 batch,I
math english,F
thank you so much mam,F
best math class and math teacher in all magnet brain thank u magnet brain and mam you are teaching very excellent,F
magnet brains outstanding teachees,F
notes kaha se milega,D
,I
2024 - 2025 batch mam bdhiya padhate ho aap,I
thanks mam,F
good evening mam,I
ad distract our consantration,I
2024-25 ka batch kb start hoga,D
mam me hbse se hu,I
not deephyan,I
hii,I
2024-2025 batch,I
mam really first time feeling math is very easy subject.,F
kis kis ne 12th ka maths start kar diya hai meri trahall the best for 12th class,I
