comment,label
welcome bake sir,irrelevant
bol diya ab bol diya ab kya kr sakte h,irrelevant
avi yaha yoh  baj ne wale hai sir,irrelevant
all the very best,irrelevant
jai alak sir,irrelevant
bhai log main alakh sir ka bahut bada fan hu main bhi sir ki trah you tube par video bana kar garebo ke baccho ko padhana chata hu so bhai log mere es channel ko subscribe kar do pleasehttpsyoutubewyhlhzzxnthanks,irrelevant
pros  watching before th exam legends watching to clarify th topics at the starting ultra legends like me watching  days before boards exam to clarify th and study thu have to feel for me but i challenge u that i can still get  and  as well lets see if get them  i will mention it in replies,irrelevant
wale bache like kro or  wale bache bhi,irrelevant
sir apke method best h,irrelevant
my favorite teacher,irrelevant
jules,irrelevant
thankyou so much rab tohanu sohni sonakhi kudigirl deve,irrelevant
from teaching on boards to building his own empire he came a long way,irrelevant
madam aap bahut bahut bahut aacha padhati h par madam aap patli bahut ho,irrelevant
xsqare x quadretik equation,irrelevant
thank you sir for giving encouraging advice,irrelevant
thoda kamzore admi hai,irrelevant
coaching centres are busy in making profit,irrelevant
chapter  k first video pe sir ke cr  lake  thousand views he sb dekhna,irrelevant
why there are a lot of ads in your videos,irrelevant
just feel concept,irrelevant
kon kon yakeen batch join kare hai,irrelevant
sir ye problem hi nahi hota if the person who invented this theory knew abt something called as raincoat kewal mazak ke liye bol rahi hu dont mind,irrelevant
love u shirr,irrelevant
is mistake,irrelevant
yes  sir i wait,irrelevant
sir u made my physics so good and now i always try to solve by giving time and not by giving up thnx sir for everything helped me a lot,irrelevant
class  students be likeaise bhi hota hai kya,irrelevant
you truly is guru,irrelevant
anyone in arts,irrelevant
math me unacademy jee ko follow krte hai sammeer chinxholkar sir ko,irrelevant
her  children,irrelevant
i like your tatoo sir,irrelevant
background change,irrelevant
ye part  heplease correct itteam magnet brain,irrelevant
physicswallah sir is an idol for all the teachers,irrelevant
s s s o,irrelevant
sukriya sr,irrelevant
yeh dekhoyeh lo,irrelevant
i saw dis vedio in x speed nd literally when sir said dil to bacha h ji it was vry funny,irrelevant
everything is crystal clear thanku mam,irrelevant
aadha chocolate khake denese kaun impress hogi sir,irrelevant
started in  thanks me later,irrelevant
sir aapka jwab nhi,irrelevant
hj,irrelevant
one night before physics exam,irrelevant
mai  se dekh r hu,irrelevant
all the legends who didnt study in   came here for annual examsupdate  ive finally completed my th std annual exams with help of roshni mamupdate  completed school and currently studying in collegeit was a long way tho but im happy that i made it throughupdate  currently studying for semester exams going to nd year next month  cant believe im getting olderupdate  worried sick for my future and looking for internships before i become a final year student i feel lost and i just wanna disappear at this point,irrelevant
who is watchingduring november,irrelevant
i will never forget the legend wearing a glove in one hand and using it as a duster  having a pie tatoo on his arm and delivering outstanding lectures,irrelevant
maine allen me pda hai,irrelevant
legand in waching,irrelevant
give me time tablet,irrelevant
even the west would agree that indians r the best at teaching anything,irrelevant
plz god do some miracleso that my daughter will pass through this trouble period so soon,irrelevant
sir lagta hai pooja chal rahi hai ghar btw maza aagya video me well explained sir,irrelevant
h   m,irrelevant
aaoko th me kitne number mile the,irrelevant
baki sare baate baad mai,irrelevant
ans   sec,irrelevant
who else are watching in month of november hit like,irrelevant
